year	black men	hispanic men	other men	black women	hispanic women	other women
2005	0.25	0.208333333	0.0673076923	0.333333333	0	0.714285714
2006	0.35	0.333333333	0.736842105	1.0	0	0.142857143
2007	0.708333333	0.607142857	0.136363636	0.708333333	0.5	1.0
2008	0.575	0.621621622	0.102739726	0.575	0	1.0
2009	0.619047619	0.52	0.0337837838	0.619047619	0.5	0
2010	0.658536585	0.428571429	0.119617225	0.658536585	0.5	0
2011	0.387096774	0.516129032	0.471264368	0.038961039	0.084337349	0.07751938
2012	0.3	0.363636364	0.325396825	0.02970297	0.040229885	0.049019608
2013	0.139175258	0.095041322	0.072386059	0.035483871	0.116751269	0.120082816
2014	0.25	0.133333333	0.470588235	0	0.2	0
2015	0.166666667	0.25	0.055555556	0	0.4	0.208333333
2016	0.5	0.6	0.4375	0.157894737	0.5	0.333333333
