parameter	distribution	param1	param2	mean	sd	sd.prior	transformation	mean.transf	ucl.tranf	sd.transf.1	sd.transf
epsilon.1	beta	1.1	1.1	0.5	0.39	0.2398	logit	0	3.47609869	1.77351974	1.551760355
epsilon.2	beta	1.1	1.1	0.5	0.39	0.2398	logit	0	3.47609869	1.77351974	1.551760355
epsilon.3	beta	1.1	1.1	0.5	0.39	0.2398	logit	0	3.47609869	1.77351974	1.551760355
epsilon.4	beta	1.1	1.1	0.5	0.39	0.2398	logit	0	3.47609869	1.77351974	1.551760355
epsilon.5	beta	1.1	1.1	0.5	0.39	0.2398	logit	0	3.47609869	1.77351974	1.551760355
rr.screen.m1	gamma	9.3	5.4	1.7	0.57	0.68	log	0.545485816	1.098612289	0.282207384	0.328336852
rr.screen.m3	gamma	8.5	7.5	1.1	0.39	0.47	log	0.118091191	0.693147181	0.293395913	0.343508287
rr.screen.o.m	gamma	3.4	0.5	6.5	3.53	4.69	log	1.867008949	2.708050201	0.42910268	0.545698639
rr.screen.msmhiv	gamma	3.4	0.5	6.5	3.53	4.69	log	1.867008949	2.708050201	0.42910268	0.545698639
rr.screen.o.msm	gamma	4	4.4	0.9	0.46	0.59	log	-0.089918282	0.693147181	0.399523195	0.498744247
rr.screen.f1	gamma	3.4	1.6	2.2	1.18	1.58	log	0.768407981	1.609437912	0.429096904	0.545677751
rr.screen.f3	gamma	8.5	7.5	1.1	0.39	0.47	log	0.118091191	0.693147181	0.293395913	0.343508287
rr.screen.o.f	gamma	8.5	7.5	1.1	0.39	0.47	log	0.118091191	0.693147181	0.293395913	0.343508287
rr.screen.ac	gamma	8.5	7.5	1.1	0.39	0.47	log	0.118091191	0.693147181	0.293395913	0.343508287
c.min.m1	gamma	5	5	1	0.45	1.56	log	0	0.693147181	0.353646521	0.447213595
c.min.m2	gamma	5	5	1	0.45	1.56	log	0	0.693147181	0.353646521	0.447213595
c.min.f1	gamma	5	5	1	0.45	0.24	log	0	0.693147181	0.353646521	0.447213595
c.min.f2	gamma	5	5	1	0.45	0.24	log	0	0.693147181	0.353646521	0.447213595
c.min.msm1	gamma	3.4	1.6	2.2	1.18	0.24	log	0.767255153	1.609437912	0.429685081	0.545544726
c.min.msm2	gamma	3.4	1.6	2.2	1.18	0.24	log	0.767255153	1.609437912	0.429685081	0.545544726
b.m	beta	14.3	9.7	0.6	0.48	0.09	logit	0.38642218	1.265666373	0.448593976	1.994740633
b.f	beta	14.3	9.7	0.6	0.48	0.09	logit	0.38642218	1.265666373	0.448593976	1.994740633
b.msm	beta	14.3	9.7	0.6	0.48	0.09	logit	0.38642218	1.265666373	0.448593976	1.994740633
dur.incub	normal	25	2.23	25	2.89	2.42	log	3.218875825	3.392829132	0.088751687	0.115470054
dur.prim	normal	45	7.74	45	8.66	7.27	log	3.80666249	4.08176578	0.140358822	0.19245009
dur.sec	normal	108	138	20	17.32	14.54	log	4.682131227	4.916324615	0.119486422	0.160375075
dur.imm.inf	normal	14	3.6	14	1.89	3.57	log	2.63905733	3.044522438	0.206869953	0.134960312
dur.imm.early	uniform	2	5	5.5	2.6	2.18	log	1.704748092	2.279828106	0.29340817	0.472377493
dur.immune	normal	927.5	457.9	927.5	21.4	-3801.02	log	6.832492794	7.509335266	0.345327792	0.023071265
p.trt.prim.m	beta	3.4	14.2	0.2	0.38	0.11	logit	-1.435711257	-0.405465108	0.52563579	2.464759025
p.trt.prim.f	beta	3.4	14.2	0.2	0.38	0.11	logit	-1.435711257	-0.405465108	0.52563579	2.464759025
p.trt.prim.msm	beta	3.4	14.2	0.2	0.38	0.11	logit	-1.435711257	-0.405465108	0.52563579	2.464759025
p.trt.prim.msmhiv	beta	3.4	14.2	0.2	0.38	0.11	logit	-1.435711257	-0.405465108	0.52563579	2.464759025
p.trt.sec.m	beta	9.2	13.6	0.4	0.48	0.11	logit	-0.3944613	0.429887483	0.420586113	1.993811105
p.trt.sec.f	beta	9.2	13.6	0.4	0.48	0.11	logit	-0.3944613	0.429887483	0.420586113	1.993811105
p.trt.sec.msm	beta	9.2	13.6	0.4	0.48	0.11	logit	-0.3944613	0.429887483	0.420586113	1.993811105
p.trt.sec.msmhiv	beta	9.2	13.6	0.4	0.48	0.11	logit	-0.3944613	0.429887483	0.420586113	1.993811105
p.trt.lat.m	beta	3.4	14.2	0.2	0.38	0.11	logit	-1.435711257	-0.405465108	0.52563579	2.464759025
p.trt.lat.f	beta	3.4	14.2	0.2	0.38	0.11	logit	-1.435711257	-0.405465108	0.52563579	2.464759025
p.trt.lat.msm	beta	3.4	14.2	0.2	0.38	0.11	logit	-1.435711257	-0.405465108	0.52563579	2.464759025
p.trt.lat.msmhiv	beta	3.4	14.2	0.2	0.38	0.11	logit	-1.435711257	-0.405465108	0.52563579	2.464759025
p.trt.late.m	beta	3.2	71	0	0.2	0.03	logit	-3.087863906	-2.197224577	0.454407821	4.863444359
p.trt.late.f	beta	3.2	71	0	0.2	0.03	logit	-3.087863906	-2.197224577	0.454407821	4.863444359
p.trt.late.msm	beta	3.2	71	0	0.2	0.03	logit	-3.087863906	-2.197224577	0.454407821	4.863444359
p.trt.late.msmhiv	beta	3.2	71	0	0.2	0.03	logit	-3.087863906	-2.197224577	0.454407821	4.863444359
theta.1	beta	46.3	10.8	0.8	0.39	0.02	logit	1.451657164	2.197224577	0.380391538	2.527972764
theta.2	beta	547.2	70.3	0.9	0.32	0.01	logit	2.052340386	2.31363615	0.133314166	3.146184882
theta.3	beta	183.7	72.6	0.7	0.45	0.06	logit	0.927662632	1.208311771	0.143188336	2.214691358
theta.4	beta	38.1	2.4	0.9	0.23	0.55	logit	2.751262107	4.59511985	0.940743747	4.157995511
theta.5	beta	38.1	2.4	0.9	0.23	0.55	logit	2.751262107	4.59511985	0.940743747	4.157995511
